CASE_1	CASE_2	CASE_3	CASE_4	CASE_5	CASE_6	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	width
HTR1F	0	404	202	0	0	0	0	0	0	0	0	0	3140
TMTC2	11765	16077	23117	0	0	22	10651	27680	9572	0	0	23	447991
HES7	954	752	404	1297	3156	8501	202	1948	0	93	174	571	3503
FARSA	50141	71757	75736	46	32	37	32555	87261	44529	0	0	26	11559
SPTY2D1	35200	59808	49168	0	23	0	20324	44181	22886	55	55	48	28391
C10ORF67	1932	1857	3090	0	0	0	1241	1318	404	0	0	0	142930
SAMD4B	136091	202337	135910	37	53	22	61861	137744	68709	59	64	66	43315
CYP11B2	0	0	0	0	0	0	0	0	0	0	0	0	7285
GIMAP7	24046	84698	52267	0	0	0	17405	94142	29875	0	24	0	6244
ALOXE3	0	0	0	0	0	0	0	0	0	0	0	0	23148
EDC3	29084	50812	40508	0	0	83	17902	30215	23896	0	0	0	65735
TCAIM	48176	100637	86182	22	24	50	41615	98798	45237	47	0	84	71333
FUCA1	21451	28034	49075	0	20	0	11884	31293	24190	0	0	0	23218
PXT1	404	606	939	0	0	0	0	406	0	0	0	0	52339
GGN	1360	1856	0	0	0	48	404	772	161	0	0	0	3818
HNRNPCL1	0	0	0	0	0	0	0	0	59	0	0	0	1318
TMEM125	202	404	0	0	0	0	202	202	196	0	0	0	4009
ZNF664	246340	368879	348004	116	23	126	143837	340244	169817	21	0	0	43595
SIGLECL1	0	0	0	0	0	0	0	0	163	0	0	0	22983
CALR	467782	729350	641547	204	124	432	273045	651017	264272	23	83	236	5912
MAGED1	131268	208975	216068	33	46	161	78965	187151	99252	23	0	53	99351
AP002360.1	1405	3029	6394	0	0	5	1613	2432	2981	0	0	24	33307
LDLRAD3	13531	14335	7626	0	0	0	2424	6664	6855	0	0	0	288156
CDH4	202	1212	2400	0	0	0	202	266	259	0	0	0	688192
SMCO3	404	808	906	0	0	0	606	0	202	0	0	0	9533
RAD23A	231524	368713	318321	121	115	263	142499	379809	197116	70	21	151	7788
C2ORF71	1011	3180	9644	0	0	0	4764	4137	3333	0	0	0	13286
GADD45GIP1	127733	179033	160256	0	0	88	86231	209001	109658	49	27	23	4118
DAND5	2712	10249	17150	42	0	0	12014	22461	8591	59	0	0	9604
TMEM151A	0	0	0	0	0	0	0	202	404	0	0	0	4795
PTPN11	547663	624213	524693	90	25	266	205652	560785	347984	20	65	101	91563
NSUN7	354	606	686	0	0	0	404	402	0	0	0	0	60089
RTL3	2627	3602	2423	0	0	0	0	1488	0	0	0	0	3260
FAM156B	30861	46579	30375	23	0	23	13702	40920	16906	23	23	33	17255
WSCD1	5548	10172	18969	0	0	136	11645	17458	10496	0	0	0	352194
RAB39A	0	1414	808	0	0	0	202	0	403	0	0	0	34980
CLK3	77129	180502	150581	22	50	145	55016	113040	53732	27	44	70	46915
HLA-DQB1	31194	31293	53014	0	26	0	27697	26119	19019	26	0	0	8917
GATA2	49619	70397	62557	0	47	71	34066	63036	21082	37	21	82	13759
ARID3B	7100	15935	12444	0	0	21	3834	10834	7596	0	0	0	56955
TMEM31	0	0	47	0	0	0	0	193	99	0	0	0	3120
PACS2	139294	238268	201884	56	0	221	94510	224341	98447	20	21	22	97585
ELMOD2	21463	50569	52768	53	20	0	18461	48152	25978	0	29	0	29613
EGR3	38052	199369	22810	118	26	93	1809	5654	2162	0	21	0	5644
CATSPERE	404	888	1160	0	0	0	329	370	578	0	0	0	186801
GPC5	0	808	2910	0	0	0	2575	1212	0	0	20	0	1475076
VWA1	37851	29754	27081	0	50	66	15550	35379	28539	22	0	0	8022
DNAJB8	0	0	0	0	0	0	0	0	0	0	0	0	4810
GEMIN4	19402	53124	44678	49	24	49	23383	57738	22812	0	24	0	9586
HNRNPCL4	0	0	0	0	0	0	0	0	0	0	0	0	882
FJX1	2422	3486	4412	0	0	50	1611	1977	554	0	0	0	2450
KLHL28	17624	34754	30962	82	114	46	16882	29766	15370	24	0	66	118004
MKRN3	404	0	196	0	0	0	0	0	0	0	0	0	64398
ZBTB18	41323	75902	80858	67	0	54	39962	86186	40746	0	53	25	8538
OR9A2	0	0	0	0	0	0	0	0	0	0	0	0	1038
C14ORF28	10923	20974	24059	0	23	31	9847	20182	9227	21	0	0	9963
ALOX12B	90	0	0	0	0	0	0	0	0	0	0	0	15068
SLC17A8	0	202	0	0	0	0	0	0	0	0	0	0	64981
SHARPIN	61182	92664	89144	0	38	56	46591	98847	49514	0	47	21	9492
LBX2	1124	1494	605	0	26	0	26	1083	253	0	0	54	5800
DNHD1	25700	56034	49604	29	0	6	26243	46393	21363	0	0	0	96499
SLITRK4	40051	10531	11920	61	0	41	590	4384	808	0	0	22	12988
HTR1D	0	0	602	0	0	0	0	606	202	0	0	0	2835
GCC1	30631	54984	44988	21	23	77	18268	44009	19346	21	21	97	12994
LSMEM2	19081	27845	44912	0	0	45	32187	49368	30110	0	49	34	9088
RNF151	0	202	0	0	0	0	202	0	0	0	0	0	2153
CIITA	60543	79562	90281	23	69	315	46103	113522	56349	0	0	21	66060
ZFPM1	10374	19792	12081	99	0	30	8121	17665	10773	59	48	48	83700
ALOX15B	8712	3669	0	0	20	0	0	808	2640	20	0	0	10118
PLD6	5543	19980	27040	0	0	40	10885	25078	10338	0	0	0	5321
GPHB5	0	0	0	0	0	0	0	101	0	0	0	0	6045
GRM8	1648	3476	10014	87	0	20	9689	11869	7064	0	0	0	814697
CDC42EP4	117778	323970	88559	22	30	65	39242	132285	74528	51	0	0	28552
OR2AP1	0	0	0	0	0	0	0	0	0	0	0	0	3145
OR6C4	0	0	0	0	0	0	0	0	0	0	0	0	6231
ZBTB42	24423	25382	15446	0	30	42	8528	16834	10758	0	20	15	4117
LACC1	22436	33690	27702	0	1	0	19237	57692	19365	0	31	0	14649
MAF1	232658	404025	336716	0	34	341	162132	414340	202631	0	22	29	3113
TPPP2	4702	15346	6104	0	0	0	2730	14895	5465	0	0	30	12168
FCER1A	808	606	2018	20	0	0	404	2904	2219	0	0	0	18511
RPRML	808	200	202	0	0	32	0	2420	0	0	0	0	1093
ARL14	0	0	0	0	0	0	0	0	0	0	0	0	1294
OR6C2	0	0	0	0	0	0	404	0	303	0	0	0	9279
WDR97	4485	8907	6575	0	11	21	3394	7364	1411	0	0	0	10590
NLRP8	0	0	0	0	0	0	0	0	0	0	0	0	40798
PCED1B	1993	4817	6045	0	0	0	2037	3294	1219	0	0	0	157060
APOBEC3B	129	1210	1209	26	0	0	101	2380	606	0	0	0	10458
SYCN	0	0	0	0	0	0	0	0	0	0	0	0	1436
PIPOX	808	711	542	0	0	22	404	54	0	0	0	0	106708
FOXS1	1817	980	4301	0	0	0	4241	4356	1211	21	25	0	1319
ATOH7	0	0	559	46	86	60	0	0	202	43	0	0	1480
CDH5	163957	320078	370267	82	69	124	160730	371870	157010	25	33	81	38165
LRRC3B	0	202	803	0	0	0	0	557	0	0	0	0	87971
FAM216B	606	1012	3451	0	0	0	6466	1816	404	0	0	0	10000
MRGPRX4	0	0	0	0	0	0	0	0	0	0	0	0	1444
MYADM	237062	494429	203844	81	0	195	202276	316968	250236	37	32	20	10215
MRGPRX3	0	0	0	0	0	0	0	0	0	0	0	0	17526
MROH1	92592	122164	86153	0	0	242	37642	136517	59802	0	29	0	113925
SERTAD2	57592	89632	99964	31	86	121	31565	76146	32222	0	0	20	119385
AKAP5	808	1608	1604	0	0	0	707	1204	606	0	0	0	9005
NKPD1	202	723	0	0	0	0	0	404	0	0	0	0	8988
GIPC3	11043	15150	16563	40	20	0	6030	13537	9896	152	43	0	7989
LINC02581	3628	9742	4947	0	0	0	403	5651	1287	37	0	0	2953
CITED4	15340	20467	40923	0	20	23	17109	36150	26519	0	59	0	1316
ABCA13	0	202	202	0	0	0	404	404	0	0	0	0	476039
NLRP11	0	0	31	0	0	0	0	0	0	0	0	0	51404
TIGD5	12082	17595	15176	66	20	45	11812	23577	7264	0	23	20	5390
PDXDC1	209804	271473	240364	0	25	117	94308	244862	128813	42	20	158	164749
C1ORF194	0	59	0	0	0	0	202	0	0	0	0	0	7907
ZNF154	17320	27680	36586	0	0	47	13344	29035	16977	0	0	0	11828
R3HDM2	183693	318497	225908	65	40	209	89303	202184	92623	0	0	44	177244
B3GNT3	0	0	0	0	0	0	0	0	0	0	0	0	18255
ITLN1	202	31413	303	0	0	0	4210	6719	202	21	29	0	8632
NRXN1	12529	21342	18541	24	0	55	5778	22481	7857	20	50	0	1307071
SEPHS2	46055	73612	67646	0	43	73	30133	78131	39251	0	0	66	2551
OR10A7	0	0	0	0	0	0	0	0	0	0	0	0	951
GPBAR1	6605	3914	1010	0	0	0	1212	4039	1570	21	0	32	4364
ZNF784	17530	29223	27426	50	0	0	13344	45124	18547	0	52	151	3860
ZNF648	0	0	0	0	0	0	0	0	0	0	0	0	7143
C14ORF119	36806	63154	55930	0	42	133	25950	47917	28280	42	72	68	5698
CCR8	0	0	0	0	0	0	0	0	0	0	0	0	3806
GOLGA8J	745	1449	1936	0	0	0	932	1832	934	0	0	0	10447
BBS10	28743	58495	34758	0	0	26	12707	32651	24209	0	21	0	3969
FIZ1	25550	37165	34330	54	69	23	15597	38999	20550	32	0	0	10600
PUF60	116597	158789	132882	0	0	91	63226	154075	84021	33	30	29	13516
SSC5D	41069	25187	49192	22	0	41	8818	13741	7359	0	0	28	30695
DCTPP1	11461	24008	28036	0	0	0	14254	34317	13358	29	0	52	6457
ZNF771	14586	22305	18602	40	68	41	8199	20950	8340	139	20	22	23812
TSHZ1	51714	105117	121482	0	0	97	47357	97140	35459	0	46	0	79196
PSTK	4952	5743	10127	46	0	0	3718	6228	4136	0	0	46	43133
SOCS4	36744	49794	44049	24	0	0	21333	44179	31662	0	0	20	22259
ZADH2	75998	161219	236641	71	22	131	99121	220219	114804	23	22	101	14241
OR1E1	0	303	0	0	0	0	0	0	505	0	0	0	1307
ZNF48	10732	16254	14885	26	9	0	6018	15177	6654	0	0	0	22003
AC087498.1	0	0	0	0	0	0	0	0	0	0	0	0	945
FAM71E2	0	0	0	0	0	0	0	0	0	0	0	0	8353
C3ORF80	403	0	202	0	0	0	404	0	404	0	0	0	2718
NKX2-6	0	0	202	0	0	0	0	404	0	0	0	0	4148
TMEM150B	1010	1306	583	0	0	0	101	996	305	0	0	0	21248
ANKRD18A	908	1412	5091	0	0	0	804	4059	1212	0	0	25	49303
WFDC11	0	0	0	0	0	0	0	0	0	0	0	0	21708
TMEM86B	5781	9685	4949	0	0	0	1438	6927	2572	0	0	0	2626
OR3A1	0	202	0	0	0	0	0	0	0	0	0	0	7344
SEPT1	3395	7682	4269	0	20	0	1802	3907	3045	0	0	51	17859
TRNAU1AP	17297	35391	21393	0	0	0	10354	21476	12798	0	0	0	25461
EXOC3	93099	168874	161904	23	23	149	61119	160050	67361	0	0	4	28780
TDRD6	5266	13326	9148	0	0	0	3693	5798	3148	0	0	0	16445
C12ORF40	506	136	770	0	0	0	203	81	27	0	0	0	282134
CSNK1A1L	0	0	0	0	0	0	101	102	0	0	0	0	2406
LYNX1	356631	401667	286687	189	20	529	248590	302145	185338	89	126	45	6614
TH	202	0	0	0	0	0	0	0	0	0	0	0	7949
MED14	71581	111737	109122	0	0	75	38251	100261	46472	0	0	107	87553
FAHD1	23430	36160	50655	0	0	62	30872	40079	29061	0	0	29	13267
TDRP	6326	11840	12015	0	23	0	4251	8834	4321	0	0	24	55990
RCC1	9608	17971	11017	0	0	74	8005	13859	7769	0	0	30	33358
WFDC9	0	0	0	0	0	0	0	0	0	0	0	0	23330
MYLPF	0	402	0	0	0	0	43	0	0	28	0	30	7058
F2	168	55	131	0	0	0	0	87	0	0	0	0	20327
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0	2294
PRKRA	62480	106572	95872	20	0	64	43568	117269	55937	46	58	0	20099
ZNRF2	15050	32042	30705	0	21	93	8677	16949	10742	0	0	0	83386
RRH	0	202	135	0	0	0	0	268	0	0	0	0	16611
SLC9A4	0	0	0	0	0	0	0	0	0	0	0	0	60670
ZNF816	3590	7646	9788	0	0	0	4408	10559	4536	0	0	0	13533
PRNT	0	0	0	0	0	0	0	0	0	0	0	0	9387
FGD6	17063	42183	64718	60	41	270	27437	54734	15615	111	146	60	140734
ADGRD2	202	59	202	0	0	0	0	0	0	0	0	0	27165
GPR139	0	0	0	0	20	0	0	0	0	0	0	0	42433
PLD5	1411	2545	202	0	0	0	0	0	203	0	0	0	441711
OAZ2	120723	235606	178846	48	111	207	71618	184223	86662	108	134	251	15709
WFDC10A	0	0	0	0	0	0	0	0	0	0	0	0	1671
PNPLA1	0	962	0	0	0	0	0	0	0	0	0	0	69027
ALX1	0	202	201	0	0	0	0	0	0	0	0	0	21678
CCDC43	34647	64034	64195	53	0	70	23101	67772	32919	23	34	0	16711
KCTD4	202	606	0	0	0	0	0	0	0	0	0	0	1865
MEIOC	8057	14679	16619	49	0	0	5137	16049	8068	0	0	0	33905
FZD2	1713	2923	6965	0	0	0	2209	2928	1818	0	0	0	2112
TIGD2	1615	8674	7431	0	0	0	3014	8252	3432	0	0	0	3400
CCDC129	258	52	724	0	0	0	27	294	202	0	0	0	144650
HCLS1	35299	116439	36504	0	0	124	13891	37290	29336	0	0	0	29529
MTURN	151320	364529	183309	67	150	405	38466	137285	50292	139	34	196	27953
ZNF609	83694	188777	111118	0	0	68	44563	103617	46973	28	87	21	225327
PAK2	160200	256587	224377	45	0	275	104197	191110	131265	44	0	20	92791
CCDC66	24997	58414	45292	0	20	34	18099	52196	28201	0	56	0	64658
DEFB124	893	961	901	0	0	0	458	1738	1450	0	0	0	11252
KRTAP9-7	0	0	0	0	0	0	0	0	0	0	0	0	1039
ATP5EP2	0	349	380	0	0	55	236	295	171	0	0	0	385
MCFD2	155546	291822	239899	72	30	137	97404	219865	163615	24	49	57	39986
HARBI1	8555	14986	11742	0	20	69	3300	11310	5590	0	34	0	15049
DEFB123	0	0	0	0	0	0	0	0	0	0	0	0	9739
C11ORF71	13689	28862	39592	21	45	76	12473	29768	20062	0	0	0	9069
CYP8B1	387	1209	202	0	0	0	0	0	202	0	0	0	20161
OR6K6	0	0	0	0	0	0	0	0	0	0	0	0	1172
SERTM1	404	202	4440	0	0	0	4817	2020	1010	0	0	0	23928
GAS1	24642	48999	71677	20	23	32	23267	36483	13174	48	63	40	2827
ARHGAP45	15819	41944	19943	56	0	37	8910	17589	9680	68	26	0	20706
OR10Q1	0	3	31	0	0	0	0	396	202	0	0	0	1037
ZNF571	4229	7764	8640	0	0	0	3627	7684	2506	46	0	0	40009
GLIPR1L2	4237	8001	1817	0	0	44	3120	8801	403	27	0	21	41619
DEFB119	0	0	0	0	0	0	0	0	0	0	0	0	13440
MIGA1	22205	38950	48954	67	169	103	20746	42860	22772	0	23	75	99916
KCNE1	3420	12068	14210	0	0	0	4694	18032	8755	0	0	0	65588
PRR26	3793	6937	6409	0	0	26	2689	7202	6730	0	0	0	19634
NRIP1	26344	59704	64262	45	0	209	28526	46181	32557	65	50	162	104702
ZSCAN4	606	404	550	0	0	0	202	404	0	0	0	0	10218
BHLHA15	0	404	201	0	0	0	0	0	0	0	0	0	1553
RNF182	0	0	202	0	0	0	0	0	0	0	0	0	55857
TSPYL5	45393	105451	85728	32	23	50	33952	72865	43410	0	0	0	4491
FUT7	403	796	0	0	0	0	0	0	0	0	0	0	2837
HIST1H2AC	42205	56804	51642	0	146	274	22634	24867	21152	24	20	96	14972
AC068775.1	14102	39328	27936	24	0	0	11300	32244	10204	0	0	0	17534
SKIDA1	4192	9268	14330	0	0	74	5243	8535	5333	21	0	20	12891
HIST1H2BC	3029	5422	4211	62	37	79	964	1615	1717	78	61	23	9054
MB21D2	14582	22099	16419	0	22	0	4742	12186	5242	0	0	0	121347
GSX2	0	0	0	0	0	0	0	0	0	0	0	0	2983
SSTR2	1881	3833	1406	0	0	0	3027	5309	1412	0	0	0	11622
ZNF594	12854	31380	28949	0	0	47	15186	23502	11772	0	22	20	12348
PCGF5	115947	182929	223957	43	154	68	84965	259223	129439	88	91	37	121320
SLC47A2	232	460	979	0	0	0	303	215	234	0	0	0	40692
PRF1	1517	4235	5900	0	0	0	0	606	609	0	0	0	5428
OR2A4	0	429	620	0	0	0	0	101	0	0	0	0	1758
MAB21L1	808	3670	2827	0	24	50	404	3273	670	0	0	43	3028
YOD1	19105	45879	41988	0	23	90	9431	37143	14235	0	0	68	9132
TMEM64	27197	30887	22797	0	57	52	13382	33438	10036	0	0	22	169638
C3ORF22	0	0	0	0	0	0	0	202	0	0	0	0	31967
OR10K2	0	0	0	0	0	0	0	0	0	0	0	0	8028
CHRM4	0	0	0	0	0	0	0	425	0	0	0	0	1511
SHISA2	2963	1106	808	0	0	0	202	0	0	0	0	0	6435
S1PR5	1007	202	597	0	0	0	0	0	0	0	0	0	5190
CLRN3	0	0	0	0	0	0	0	0	0	0	0	0	15107
GPR157	32557	51315	56540	22	0	23	40315	100779	37803	0	0	0	28866
CHST13	202	606	1410	0	0	0	202	200	202	0	0	0	19009
AGTR2	202	0	3840	0	0	0	808	202	202	0	0	0	4251
SLC36A4	11700	30401	17626	35	60	20	6357	22758	14012	0	0	0	53794
ZDHHC20	32081	49191	49353	0	0	0	21841	46426	24412	0	0	0	86798
ANKRD30B	0	0	202	0	27	0	0	0	0	0	0	0	124467
OR51E1	6057	16134	16568	0	0	0	6025	12820	9373	0	23	0	12069
ZFP3	28922	54303	59181	0	0	35	21957	44917	32625	0	0	27	18127
ARSJ	16396	7764	5381	25	0	0	1515	3620	2219	53	0	0	79444
HOXC9	0	0	0	0	0	0	0	0	0	0	0	0	8443
MAP3K15	45750	103285	111457	0	23	72	28468	69425	51582	22	0	0	155206
PPA1	98255	121140	97090	0	30	51	47939	127898	87824	40	0	0	31082
HOXC10	0	0	0	0	0	0	0	0	0	0	0	0	5215
PSMG4	15079	28104	33261	0	0	29	9702	34369	13838	0	0	0	71971
BHLHE22	1109	403	808	193	153	238	404	600	202	161	55	70	3262
MAP6D1	3876	4393	6721	25	0	0	1775	6306	4069	0	0	0	9719
ZNF443	2400	6537	5378	0	0	0	3570	6700	4864	0	0	0	11406
CXCR2	1499	13190	5741	0	0	54	189	404	599	0	0	0	11965
DEFB112	0	0	0	0	0	0	0	0	0	0	0	0	5077
GREM2	0	181	0	0	0	0	202	202	0	0	0	0	122577
C11ORF42	134	0	0	0	0	0	411	202	0	0	0	0	5567
SSR4	61114	96092	85724	0	52	46	40345	94782	53313	0	0	23	4990
CAPS2	7476	22883	29344	0	0	0	14084	30302	13927	23	0	0	114950
ZNF792	3517	13379	12107	63	0	122	3771	12780	2207	42	0	31	7696
CUEDC1	88595	138955	129386	0	0	109	59215	147409	70834	23	20	45	94081
SCRIB	73179	102621	82599	94	191	171	36156	100434	45111	64	42	104	24460
KCTD2	115430	259088	163352	135	70	120	73230	169365	77982	24	0	20	33315
D2HGDH	30786	64806	46012	42	22	97	25010	59255	30022	0	53	43	34238
OXTR	404	3903	4584	0	0	0	947	2696	602	0	0	0	19221
CMTR2	22235	31557	38621	0	0	44	20618	36005	20803	22	0	0	8327
OR56B4	0	0	6	0	0	0	0	0	0	0	0	0	1152
FAM83H	4155	4563	2424	0	0	0	1607	513	808	0	0	0	9869
GPR62	636	260	2739	0	0	0	20	1210	278	0	0	0	2191
OR56A1	0	0	0	0	0	0	0	0	0	0	0	0	15003
ZNF572	1414	5047	1971	29	24	0	1212	2321	3025	0	0	0	6092
ST20	3849	8307	4905	26	0	0	2963	4561	2927	0	0	0	24863
PITPNB	133916	300589	117139	22	0	103	42597	102818	47494	0	0	120	68466
TCEAL8	44041	86560	92564	24	23	24	43134	74188	44558	0	0	0	2209
OR52E4	0	0	0	0	0	0	0	0	0	0	0	0	6451
LRRC57	28073	54910	45649	62	0	45	14370	43415	27148	22	0	47	10983
OR52N2	0	202	202	0	0	0	0	0	0	0	0	0	1035
MRPL14	25453	30263	29567	0	0	0	18248	33259	19396	0	0	0	14004
GPR137C	3433	5546	7737	28	0	0	2424	4580	2806	0	0	0	84566
C1ORF105	2424	950	606	0	0	0	8791	5048	7061	0	0	0	48144
OR52N1	0	0	200	0	0	0	0	0	0	0	0	0	4795
BBS12	19523	33133	14929	0	0	27	3944	10515	11806	0	0	0	12242
ZFP82	6094	15688	14529	73	0	50	6846	13488	6651	120	141	375	35537
OR52N5	0	37	0	0	0	0	0	0	0	0	0	0	7191
C17ORF47	0	762	404	0	0	23	173	202	516	0	0	0	2782
LSMEM1	9879	18025	6157	0	0	0	2228	12941	1626	0	0	0	10210
NQO1	12275	12121	14218	0	0	21	11605	11283	8767	0	24	0	19956
OR56B1	0	0	405	0	0	0	0	0	0	0	0	0	2075
AEN	18903	19721	9489	20	0	0	4221	14666	7641	0	0	21	10987
FKRP	65096	70850	57025	0	0	78	25894	62622	30603	0	40	0	30943
TRAPPC5	38032	67163	46898	44	20	0	21746	63817	33965	0	0	17	6861
RPH3AL	12225	15297	9150	0	0	21	3600	16370	7417	0	0	26	173866
SLC25A42	89446	103271	75533	0	0	0	22193	52120	30080	0	0	22	48890
FCRL6	0	2508	941	0	0	0	0	226	201	0	0	0	15741
METTL23	10270	22598	22643	41	0	0	12195	28824	12016	23	0	0	7107
SLC26A11	10616	13077	14555	0	0	0	7420	13163	4103	0	0	0	33802
HIGD1A	297956	586440	495029	37	32	173	250693	578780	351845	0	100	59	20234
CHRM2	85267	175845	416675	23	0	219	146576	245258	90548	21	171	61	151587
OR52N4	0	409	786	0	0	0	202	303	72	0	0	0	1663
MAPK15	202	719	606	0	0	0	497	0	0	0	0	0	6200
EHMT1	71152	119495	103899	22	0	144	41055	102813	43151	0	22	63	251054
ADIPOQ	127631	86974	8251	84	0	636	2416	25982	4039	0	0	20	15774
F2R	247044	133557	85188	45	42	193	17657	87599	21083	0	0	0	19739
ZNF707	13309	20104	15214	0	22	0	6758	19432	10356	0	0	0	29447
MUC16	0	0	0	0	0	0	101	404	0	0	0	0	132499
NPM1	252590	529638	417464	164	71	61	164456	386987	167429	24	72	97	24022
PJA1	35497	16147	37690	0	60	82	19274	40037	14628	20	0	57	4943
DHTKD1	80903	154981	102649	0	0	107	37427	183140	72575	0	64	0	54254
PENK	16350	9258	4445	0	0	0	362	3192	404	21	0	0	10061
C4ORF50	0	0	202	0	0	0	0	0	0	0	0	0	121135
HIST3H2A	7147	9488	15335	0	0	48	7775	16853	8982	0	0	25	895
ZNF746	25783	53018	31016	0	0	98	10095	30206	16393	22	0	21	25024
POLR2A	226090	439635	322957	193	160	374	130742	323123	155514	205	90	185	30251
TMEM132C	19371	55776	4643	0	0	0	4539	20332	1601	0	0	31	440513
SLC25A41	1537	1848	428	0	0	0	301	493	193	0	0	11	7743
TMEM136	37239	60839	52280	0	28	27	27507	35996	19768	26	0	30	8554
OR5AK2	0	0	0	0	0	0	0	0	0	0	0	0	996
FRAT2	7470	28184	14820	0	22	0	5843	18482	7745	27	23	27	2213
TMEM102	2625	2798	3630	0	0	0	1413	2423	1278	0	0	0	2237
TMEM132E	0	202	0	0	0	0	0	0	0	0	0	0	59832
ZNF322	18517	33665	34294	21	0	42	13428	27549	17275	0	0	22	25370
NME9	727	1927	1190	0	0	0	807	1705	236	0	0	0	68450
SPEM1	0	0	0	0	0	0	0	0	0	0	0	0	1273
HEPHL1	202	621	294	0	0	0	0	0	61	0	0	0	92391
LRRC75A	44472	83026	54808	37	0	0	26969	83085	31673	27	0	23	50577
OFCC1	0	0	0	0	0	0	0	0	0	0	0	0	615499
OR5M8	0	0	0	0	0	0	0	0	0	0	0	0	1047
CCL13	404	1616	3292	0	0	0	1212	404	401	0	30	0	2159
CFAP65	404	0	0	0	0	0	0	0	0	0	0	0	38682
DDX60L	15307	40049	70862	30	24	215	16905	31848	10442	0	0	0	181052
SYNE4	404	1287	573	0	0	0	744	1439	202	0	0	0	5487
OGFOD3	55984	72492	63721	0	0	0	28930	70549	37742	21	0	0	29415
WASHC1	12557	25579	31077	0	0	0	16625	54564	14619	0	0	0	15219
UTS2R	0	230	949	0	0	0	1010	2931	1803	0	0	0	1357
AATK	14500	30582	22380	0	0	0	10386	20163	13023	0	0	0	48783
DDN	1211	807	2827	0	0	0	1211	3603	1482	0	0	0	4161
SAGE1	0	0	0	0	0	0	0	0	0	0	0	0	23857
ZNF467	11551	19971	11602	0	0	50	7441	14927	5339	0	0	0	9298
SOX2	2220	3540	404	22	0	0	885	934	1004	0	0	21	2513
ZNF678	6795	9759	17335	20	22	35	4728	9777	6662	0	57	24	113901
TMEM45A	7364	7001	4778	0	0	0	3701	4736	2222	0	0	23	84826
RAP2B	18480	32338	21701	33	50	71	10223	17913	7702	48	24	81	8351
ZBTB2	21319	29169	22533	0	0	0	10479	19459	8081	0	50	0	27432
RNF135	9503	17703	21777	49	59	68	7149	11690	5562	79	23	34	31127
OR6T1	0	0	0	0	0	0	0	0	0	0	0	0	1089
ACBD4	12877	28613	24728	0	0	26	8556	24700	9988	0	0	0	11582
OR8D4	0	0	0	0	0	0	0	0	0	0	0	0	7063
SGSH	31997	36423	39366	0	0	29	13979	46686	14681	0	0	29	14208
MAB21L2	202	202	1413	0	0	0	201	403	0	0	0	25	2772
FANCB	0	0	404	0	0	26	0	404	0	0	0	0	29663
EDDM3B	0	0	0	0	0	0	0	0	0	0	0	0	2522
SETD2	93032	144578	165360	76	45	296	65595	154222	79873	44	72	49	147539
EDDM3A	0	0	54	0	0	0	0	0	202	0	0	0	2489
C6ORF223	273	1110	836	46	22	235	168	899	207	21	0	111	5379
TMIE	842	1403	1007	0	0	0	802	804	607	0	0	0	9554
MEX3D	14125	26734	14995	47	63	97	8061	15587	5637	81	0	76	13390
OR52D1	0	0	0	0	0	0	0	0	0	0	0	0	1065
MRPS23	88030	208872	144460	73	30	67	71834	169295	93197	0	22	38	15276
OR52H1	0	0	0	0	0	0	0	0	0	0	0	0	4045
FDCSP	0	0	0	0	0	0	0	0	0	0	0	0	9182
GPR135	5780	12432	8525	0	0	0	2778	6552	1356	0	0	0	36321
SLX1B	17905	32521	20461	0	20	0	6547	22234	10504	0	0	49	3719
ANKRD62	0	0	0	0	0	0	0	0	0	0	0	0	35897
P2RY13	1415	5750	7567	0	0	0	2020	4344	2417	0	0	0	3237
TNFSF15	0	404	202	0	0	0	0	0	0	0	0	0	21492
ZFP41	18535	33910	22283	0	0	0	10234	24624	14864	0	0	0	15885
PHLDA2	2420	1242	1603	0	0	0	606	605	606	0	0	0	1183
ATG9B	16024	13770	8274	0	0	0	13431	9986	9168	40	0	0	12291
GPR88	602	2776	1133	0	0	0	202	2317	2340	0	0	0	3882
HKR1	52348	141096	147141	0	28	86	67158	136555	69802	0	0	49	56529
PLAG1	17194	50486	40800	33	0	0	16749	34118	15001	0	201	0	50421
OR8H1	0	0	0	0	0	0	0	0	0	0	0	0	3793
OR5T1	0	0	0	0	0	0	0	0	0	0	0	0	2666
YIPF6	57844	104699	89907	0	24	89	43506	93625	53088	0	0	87	38963
OR5T2	0	0	0	0	0	0	0	0	0	0	0	0	2974
ZBTB20	267729	415865	362819	199	231	781	123732	257639	151954	197	231	109	832771
OR2Z1	0	0	0	0	0	0	0	0	0	0	0	0	10527
C3ORF58	25898	35120	34231	0	0	107	6858	21545	6572	50	0	0	76922
C5ORF30	8686	16630	18194	22	25	0	4465	14520	6842	0	0	0	19959
OR8K5	0	0	0	0	0	0	0	0	0	0	0	0	924
AMIGO1	33110	64619	64051	0	0	54	36600	81623	45753	0	23	0	5564
OR8H3	0	0	0	0	0	0	0	0	0	0	0	0	939
OR8H2	0	0	0	0	0	0	0	0	0	0	0	0	3972
GPR3	1262	4039	873	0	0	0	202	1771	202	0	0	0	3171
TMEM252	3971	2697	2287	0	18	0	2632	2987	1109	0	0	0	4288
